Brand,Channel Type,Company,Customer ID,Market,Other base product Type,Product ID,Product Segment,Actual Sales,Cost,costPrice,Estimated Sales,Number of Records,Order Qty,Profit,Profit %,Profit Value,Profit%,Unit Price,Variance
Roche,Telephone,Xlabs,676,United States,Albalon,712,Ointment,7088343,6,5566764,7088344,1,927794,1.528,0.273332766,1521579,0.2,7.64,-1
Pfizer,Telephone,Xlabs,676,Canada,Propranolol Hydrochloride Intensol,776,Ointment,5425630,26,4553458,5425629,1,175133,4.9568,0.191540583,872172,0.16,30.98,1
Sanofi,Telephone,Xlabs,676,Mexico,Amantadine Hydrochloride,711,Concentrate,7838548,194,7382282,7838549,1,38053,12.3594,0.061805550,456266,0.06,205.99,-1
Merck,Telephone,Xlabs,676,Brazil,Alimta,709,Concentrate,12022734,115,10973990,12022733,1,95426,11.3391,0.095566335,1048744,0.09,125.99,1
GSK,Telephone,Xlabs,676,Japan,Tavist-D,716,Suppository,13334822,26,12173642,13334821,1,468217,2.2784,0.095384767,1161180,0.08,28.48,1
AstraZeneca,Telephone,Xlabs,676,Korea,Cu-7,714,Syrup,9738774,240,8363040,9738773,1,34846,39.1272,0.164501664,1375734,0.14,279.48,1
Bayer,Telephone,Xlabs,676,China,Claritin-D,777,Lotion,5073914,2,5606534,5073913,1,2803267,0.2715,-0.094999870,-532620,0.15,1.81,1
Gilead Sciences,Telephone,Xlabs,676,Singapore,Corzide,773,Syrup,13210725,19,11963958,13210724,1,629682,1.6784,0.104210245,1246767,0.08,20.98,1
Roche,Telephone,Xlabs,676,Australia,Caffeine Citrate,772,Tablet,14149377,5,14408735,14149378,1,2881747,0.2946,-0.018000053,-259358,0.06,4.91,-1
Pfizer,Telephone,Xlabs,676,Netherlands,Piperacillin And Tazobactam,771,Capsule,6898795,205,5796580,6898794,1,28276,39.0368,0.190149191,1102215,0.16,243.98,1
Sanofi,Telephone,Xlabs,676,Sweden,Aminosyn 8.5% W/ Electrolytes,778,Syrup,5457742,94,5344558,5457741,1,56857,1.9198,0.021177429,113184,0.02,95.99,1
Merck,Telephone,Xlabs,676,Finland,Zanaflex,774,Syrup,12175665,6,12216384,12175664,1,2036064,0.4784,-0.003333147,-40719,0.08,5.98,1
GSK,Telephone,zeta,117,Denmark,Dilaudid,762,Ointment,4194289,14,3904264,4194290,1,278876,0.6016,0.074284167,290025,0.04,15.04,-1
AstraZeneca,Telephone,zeta,117,France,Erythromycin Stearate,758,Ointment,12985309,8,11403128,12985308,1,1425391,1.1843,0.138749736,1582181,0.13,9.11,1
Bayer,Telephone,zeta,442,Germany,Dextrose 7.7% In Plastic Container,711,Tablet,13354296,36,11731428,13354297,1,325873,4.5078,0.138335077,1622868,0.11,40.98,-1
Gilead Sciences,Telephone,zeta,442,United Kingdom,Isovue-300,742,Syrup,7236450,135,6300315,7236451,1,46669,20.1578,0.148585428,936135,0.13,155.06,-1
Roche,Telephone,zeta,442,Belgium,Permax,777,Capsule,7678119,265,6974535,7678120,1,26319,26.2557,0.100878983,703584,0.09,291.73,-1
Pfizer,Telephone,zeta,442,Switzerland,Potassium Chloride 0.11% In Dextrose 10% And Sodium Chloride 0.2% In Plastic Container,716,Capsule,6765061,85,5694490,6765060,1,66994,16.1568,0.188001208,1070571,0.16,100.98,1
